year_month,state,unemployment_rate
1990-01,AL,6.7
1990-02,AL,6.7
1990-03,AL,6.7
1990-04,AL,6.7
1990-05,AL,6.7
1990-06,AL,6.7
1990-07,AL,6.8
1990-08,AL,6.9
1990-09,AL,6.9
1990-10,AL,7.0
1990-11,AL,7.0
1990-12,AL,7.1
1991-01,AL,7.1
1991-02,AL,7.1
1991-03,AL,7.2
1991-04,AL,7.2
1991-05,AL,7.3
1991-06,AL,7.3
1991-07,AL,7.3
1991-08,AL,7.3
1991-09,AL,7.3
1991-10,AL,7.3
1991-11,AL,7.4
1991-12,AL,7.4
1992-01,AL,7.5
1992-02,AL,7.5
1992-03,AL,7.6
1992-04,AL,7.6
1992-05,AL,7.6
1992-06,AL,7.6
1992-07,AL,7.5
1992-08,AL,7.5
1992-09,AL,7.5
1992-10,AL,7.5
1992-11,AL,7.5
1992-12,AL,7.5
1993-01,AL,7.5
1993-02,AL,7.5
1993-03,AL,7.5
1993-04,AL,7.5
1993-05,AL,7.4
1993-06,AL,7.3
1993-07,AL,7.3
1993-08,AL,7.2
1993-09,AL,7.1
1993-10,AL,7.0
1993-11,AL,6.9
1993-12,AL,6.8
1994-01,AL,6.7
1994-02,AL,6.5
1994-03,AL,6.4
1994-04,AL,6.3
1994-05,AL,6.2
1994-06,AL,6.1
1994-07,AL,6.0
1994-08,AL,6.0
1994-09,AL,6.0
1994-10,AL,6.0
1994-11,AL,5.9
1994-12,AL,5.9
1995-01,AL,5.9
1995-02,AL,5.9
1995-03,AL,6.0
1995-04,AL,6.0
1995-05,AL,6.0
1995-06,AL,6.0
1995-07,AL,5.9
1995-08,AL,5.9
1995-09,AL,5.8
1995-10,AL,5.7
1995-11,AL,5.6
1995-12,AL,5.5
1996-01,AL,5.4
1996-02,AL,5.4
1996-03,AL,5.3
1996-04,AL,5.3
1996-05,AL,5.2
1996-06,AL,5.2
1996-07,AL,5.1
1996-08,AL,5.1
1996-09,AL,5.0
1996-10,AL,5.1
1996-11,AL,5.1
1996-12,AL,5.1
1997-01,AL,5.1
1997-02,AL,5.1
1997-03,AL,5.1
1997-04,AL,5.1
1997-05,AL,5.1
1997-06,AL,5.0
1997-07,AL,5.0
1997-08,AL,4.9
1997-09,AL,4.9
1997-10,AL,4.8
1997-11,AL,4.7
1997-12,AL,4.6
1998-01,AL,4.5
1998-02,AL,4.4
1998-03,AL,4.4
1998-04,AL,4.4
1998-05,AL,4.4
1998-06,AL,4.4
1998-07,AL,4.5
1998-08,AL,4.5
1998-09,AL,4.5
1998-10,AL,4.5
1998-11,AL,4.5
1998-12,AL,4.5
1999-01,AL,4.6
1999-02,AL,4.6
1999-03,AL,4.7
1999-04,AL,4.7
1999-05,AL,4.8
1999-06,AL,4.8
1999-07,AL,4.8
1999-08,AL,4.8
1999-09,AL,4.8
1999-10,AL,4.8
1999-11,AL,4.7
1999-12,AL,4.7
2000-01,AL,4.7
2000-02,AL,4.7
2000-03,AL,4.7
